SalaryPayment,SALA
TreasuryPayment,TREA
AdvancePayment,ADVA
AgriculturalTransfer,AGRT
AlimonyPayment,ALMY
ChildBenefit,BECH
UnemploymentDisabilityBenefit,BENE
BonusPayment,BONU
CashManagementTransfer,CASH
CapitalBuilding,CBFF
CharityPayment,CHAR
CollectionPayment,COLL
CommodityTransfer,CMDT
CommercialPayment,COMC
Commission,COMM
Costs,COST
Copyright,CPYR
Dividend,DIVI
ForeignExchange,FREX
PurchaseSaleOfGoods,GDDS
GovernmentPayment,GOVT
InstalmentHirePurchaseAgreement,IHRP
IntraCompanyPayment,INTC
InsurancePremium,INSU
Interest,INTE
LicenseFee,LICF
Loan,LOAN
LoanRepayment,LOAR
Netting,NETT
Payroll,PAYR
PensionPayment,PENS
Refund,REFU
Rent,RENT
Royalties,ROYA
PurchaseSaleOfServices,SCVE
Securities,SECU
SocialSecurityBenefit,SSBE
Subscription,SUBS
TaxPayment,TAXS
ValueAddedTaxPayment,VATX
ConsumerThirdPartyConsolidatedPayment,COMT
DebitCollectionPayment,DBTC
SupplierPayment,SUPP
Hedging,HEDG
MultipleServiceTypes,MSVC
NotOtherwiseSpecified,NOWS
CardPayment,CARD
CreditCardBill,CDBL
Ferry,FERB
Air,AIRB
Bus,BUSB
Railway,RLWY
ConvalescentCareFacility,CVCF
